id;polarity_sum;n_tweets;user_polarity
6590;17.24531364440918;40;0.4311328411102295
181363;7.791391372680664;19;0.4100732301410876
381683;1.019818902015686;5;0.2039637804031372
476083;5.0216875076293945;14;0.35869196483067106
585223;1.4199953079223633;15;0.09466635386149089
994441;0.9488383531570435;3;0.31627945105234784
1016421;9.022671699523926;16;0.5639169812202454
1216431;1.0661561489105225;5;0.2132312297821045
1452241;2.020857334136963;3;0.6736191113789877
2063181;1.6700935363769531;6;0.2783489227294922
3778501;10.321600914001465;16;0.6451000571250916
4357271;12.799795150756836;30;0.4266598383585612
4478161;109.26647186279297;181;0.6036821649878065
4547321;15.509071350097656;22;0.7049577886408026
5501422;14.994003295898438;47;0.3190213467212433
5516892;0.02171519212424755;3;0.007238397374749184
5774262;4.300939559936523;8;0.5376174449920654
5810052;8.5332670211792;13;0.656405155475323
5832732;2.3848378658294678;4;0.5962094664573669
6045862;24.562158584594727;41;0.5990770386486519
6256362;3.524667739868164;13;0.27112828768216646
6332882;8.44599723815918;27;0.31281471252441406
6433142;4.2479987144470215;11;0.3861817013133656
6443392;79.78650665283203;122;0.6539877594494429
6578052;0.6220036149024963;5;0.12440072298049927
6661832;4.517448902130127;9;0.5019387669033475
6664162;2.284179925918579;7;0.32631141798836844
6720852;18.90737533569336;29;0.6519784598514952
6821132;7.285122871398926;14;0.5203659193856376
6854382;23.32205581665039;39;0.5980014311961639
6898372;26.387107849121094;44;0.599706996570934
6931052;2.576418399810791;4;0.6441045999526978
6973732;9.778818130493164;15;0.6519212086995443
7031872;1.0838813781738281;5;0.21677627563476562
7125512;0.31392809748649597;4;0.07848202437162399
7260842;134.19522094726562;196;0.6846694946289062
7374782;18.141963958740234;31;0.5852246438303301
7721972;0.5915389657020569;5;0.11830779314041137
8018142;37.6424560546875;53;0.7102350198997641
8115012;6.40169620513916;9;0.7112995783487955
8283842;5.003785133361816;16;0.3127365708351135
8334882;2.345320463180542;7;0.3350457804543631
8350912;63.39409255981445;153;0.4143404742471533
8460572;17.258235931396484;39;0.4425188700358073
8462762;6.487245082855225;11;0.5897495529868386
8483062;8.165339469909668;18;0.4536299705505371
8532002;4.93419885635376;31;0.15916770504366967
8722922;21.78592300415039;39;0.5586134103628305
9165412;36.142784118652344;63;0.5736949860103546
9234502;3.3637733459472656;11;0.3057975769042969
9379272;11.675041198730469;19;0.6144758525647616
9603862;24.924531936645508;35;0.7121294839041573
9651232;0.619920551776886;3;0.20664018392562866
9843732;3.6606552600860596;5;0.732131052017212
10003862;12.465510368347168;38;0.3280397465354518
10092042;151.1071014404297;230;0.6569873975670856
10135782;4.922383785247803;7;0.703197683606829
10330232;100.94825744628906;172;0.5869084735249364
10381252;12.989030838012695;19;0.6836332020006681
10394212;3.629014730453491;9;0.4032238589392768
10731962;2.0847949981689453;6;0.34746583302815753
10804602;1.916007161140442;11;0.17418246919458563
10908772;2.180050849914551;9;0.24222787221272787
11042732;11.81573486328125;15;0.7877156575520833
11320442;5.586036205291748;11;0.5078214732083407
11342352;75.61407470703125;88;0.859250848943537
11365612;11.531026840209961;19;0.6068961494847348
11399382;1.6433652639389038;5;0.32867305278778075
11663602;30.66898536682129;47;0.6525316035493891
11727752;14.609203338623047;41;0.3563220326493426
11765832;2.2092084884643555;12;0.18410070737202963
11940132;1.0583000183105469;6;0.17638333638509116
12026732;14.526813507080078;28;0.5188147681100028
12091232;98.04209899902344;156;0.6284749935834836
12146642;6.732812404632568;12;0.5610677003860474
12311132;0.0301897544413805;3;0.010063251480460167
12418842;8.528030395507812;14;0.609145028250558
12475032;3.4447312355041504;10;0.34447312355041504
12560412;13.323790550231934;42;0.31723310833885554
12661202;16.60747718811035;23;0.7220642255700153
12697592;0.9121876358985901;4;0.22804690897464752
12700192;169.8843994140625;269;0.6315405182678904
12734122;9.023085594177246;16;0.5639428496360779
12786782;174.0359649658203;302;0.5762780296881467
12844902;1.1018919944763184;3;0.36729733149210614
12977852;95.37285614013672;147;0.6487949397288212
13050452;5.673280715942383;9;0.6303645239935981
13339372;9.936874389648438;40;0.24842185974121095
13363862;27.245019912719727;41;0.6645126807980422
13490522;5.209977626800537;13;0.4007675097538875
13492362;0.8102722764015198;4;0.20256806910037994
13728662;29.474458694458008;50;0.5894891738891601
13830762;8.788586616516113;17;0.5169756833244773
13835492;9.238304138183594;18;0.5132391187879775
13864582;7.509407043457031;11;0.6826733675870028
13935412;2.469968795776367;8;0.3087460994720459
14003392;2.9027090072631836;16;0.18141931295394897
14047784;3.4161105155944824;9;0.3795678350660536
14069157;44.20283889770508;69;0.6406208535899287
14069492;188.6263885498047;247;0.7636695892704644
14072986;0.7771965265274048;7;0.11102807521820068
14079548;1.9247322082519531;8;0.24059152603149414
14082870;4.888504981994629;7;0.6983578545706612
14101483;2.0557596683502197;5;0.41115193367004393
14113456;0.24573874473571777;3;0.08191291491190593
14131067;4.830636024475098;9;0.5367373360527886
14145940;1.819888710975647;4;0.45497217774391174
14159325;84.83812713623047;121;0.701141546580417
14165677;20.308727264404297;56;0.36265584400721956
14194397;4.311899185180664;17;0.25364112854003906
14199525;3.515861988067627;9;0.3906513320075141
14202260;0.278811514377594;4;0.0697028785943985
14214498;33.21895980834961;46;0.7221513001815133
14216111;1.5625295639038086;5;0.31250591278076173
14216117;26.737720489501953;43;0.6218074532442315
14226725;1.7473409175872803;3;0.5824469725290934
14237828;9.825682640075684;52;0.18895543538607085
14247924;2.8108224868774414;11;0.25552931698885833
14249433;0.22355696558952332;3;0.07451898852984111
