user_id,bot,rate,opinion_tweet,friend_names,stubborn
4216345101,0,10.0,0.0,"1964246702,353463122,317655205,1216773650,95455794,105165371,786200994552029185,19448087,331556368,47399805,8460572,34867057,364513528,21313364,8350912,19976004,68440549,38142665,374184532,26073581,18396319,40056514,53029114,338985020,35777570,34570323,15892162,335363786,340517586",0
603832347,0,11.0,0.3685835869988806,"1063038089537437697,861134037213229056,2170667322,3428356457,2413761789,472852289,17750581,165783110,578189188,29947354,818459942634012676,527237826,1461594054,364513528,438133606,1669736713,1006020644,951480480,2176206022,534776087,84204116,303317705",0
944990327181578241,1,16.0,0.657654345035553,"1071436971191492609,1084136405889150976,149539920,112184058,1062458079470600194,1062330064799440897,1057018566183149568,1028668294751039488,1061935763930169344,910127605277495297,980972864068374528,19976004,133663801,68440549,8350912,38142665",1
1367259894,0,18.0,0.0,"2883802685,438133606,309207447,114512948,301317246,34294667,357412940,1255773595,19976004",0
493435390,0,63.0,0.6254630367937088,"359907212,22646610,200659061,2841533513,1095771172522917888,2394255489,110162691,1065970256206880770,1081962839378706433,552707777,1038154228387262465,1006299571591499776,908243870,122971079,982732105686896641,1170008185,376465044,863015893433028608,1072280072231534595,475651407,1092886006498512897,1068532568608464896,1972890612,567603164,191927673,3288670390,260893168,1087289096521818112,2834065803,132089186,719490331092336640,3165914081,318143000,12786782,4063296063,995414252025458693,376868280,2975315864,1380350618,750774597692297216,112184058,160534877,1396569883,903366239359250432,2930427863,570692125,378465135,728493810410528768,225481358,881927154791067648,716650590927978496,304275943,962727756,24384295,83416937,4889187016,793749212118867969,987002997111705600,458361426,1037383255354421248,859407061230252032,990609062499946496,568187076,2973569074,1049050627022749696,728550921995751424,976437352758415361,1063871577828323328,856500044723359745,1037955126378614784,722320910217306112,427246481,17782731,3294113488,1020295398374748160,467318410,3795890361,47437779,387690843,103280363,808440877865717766,3428356457,94549979,414024815,2480771736,852994950635671552,933765240721952769,902204337417531392,822020774244581376,948261617300660224,86413968,220144642,2553003547,627658634,580822040,835174698623336448,831818451333369856,4699604959,3077516146,237873378,370932257,749230571008786432,918400162191544320,2400140782,2556865405,299683880,960926076,2356342737,1685765714,824592025303609344,385600073,874687217045778432,81668204,980972864068374528,2383421491,98968600,17729518,847766811311472646,472852289,213754264,469658161,2383844606,1477222381,130028269,6898372,797887750871666689,846479916505944065,2706751854,3019617750,243587257,947828079392641025,12418842,300314836,4873669097,32394550,906602276525146113,857241478560722945,263721156,482878437,804377363085664256,864595354578300928,857153285190537220,742093696540282880,854428791854247937,2385963636,771023660631093248,832246158391144448,2160449286,910127605277495297,613419982,863040275710697473,509981951,233532563,826854286734798848,546277623,824401336670240769,858041350494793728,809768861688037376,818847510546546690,112103858,559772995,568253569,1028033154,2361250834,791729760313434114,798205757594501120,30202175,4875623824,762556096594735104,716280630296907776,2965901787,2242392601,588215586,48956097,73972651,2348676597,195332262,497782103,1369694305,2972260203,435224364,246010365,735732185043329024,3705482487,3107681471,494116231,416445575,272385858,3374149696,59947704,145530303,84308793,189456977,780773912,263765297,2771654777,151626379,1675324105,3092206781,982606574,38392822,702058787985870848,493110289,732969746656813056,735567722717810688,2927158273,46110218,1850983994,485505777,2883802685,511638868,480752391,26110930,4636351575,333349345,2954948741,1121170650,938977964,436067155,82092249,592568255,703987501006979072,122358011,188739286,2254063405,546755809,1358882832,442958171,3317510884,2188542098,2616379037,604330177,82587708,307372692,2310059904,717067651953082372,2318908189,1329993636,113315885,2571480733,584068932,734327088,3150225742,719434987167182850,26976364,399639479,472977507,2932390913,250323361,2786468608,114512948,2191862995,4924720396,357412940,51077046,2515548346,299681641,304073374,391671501,361734359,1713160938,556902767,4062375695,428431184,1516684248,2851345257,290509123,1588940017,43301934,301590263,201737230,701529549771825155,1076334691,3157752070,53796795,471031900,1956909679,512243876,613519689,560265542,618927738,2415621192,334727286,263036313,299018689,703250726412279808,2430630890,4905817683,305447437,4910604011,3023497329,4897361049,701529237417627649,369006624,17710206,2204263431,60615239,34867057,15892162,374184532,123830541,562854016,397243910,280988929,712216639052324864,17364400,85286475,18167178,17844275,2834581527,19976004,47399805,1536545978,330911756,19491190,540721019,311601642,329686497,197492504,151043323,2331747024,3306815273,1003575248,311525465,2773565144,68940196,145556011,40056514,35777570,951480480,364513528,8460572,38142665,18396319,133663801,21313364,34570323,34294667,68440549,8350912,338985020,53029114,35022597",0
2201838856,0,5.0,0.0,"95599164,1715306419,869305963630780418,1435970071,4838317882,2483641710,927290354,950370166080135168,2596348954,1001238200462073856,1065241481554915328,1284200228,2983945431,4217086613,823938478283116545,456777022,1920691543,403305133,2148731538,2329034473,471163803,469248037,472412809,316956459,78085410",0
843511862138458115,0,44.0,0.0,"1011302185,1457314789,485505777,338541307,531658396,1068532568608464896,961028155296317440,2335714981,482878437,3028247758,200659061,472852289,15892162,18396319,19976004,338985020,96780715",0
958775021635284992,0,23.0,0.46357489136341384,"309207447,1001238200462073856,56107736,1142361835,112184058,908047632,816070651597488129,19976004,578189188,2336618679,68940196,474073938,105165371,990375282673684481,114512948,472852289,723186362048864258,908371232982216704,3028247758,123830541,554485198,3012235893,509981951,1457314789,1011302185,200659061,757910696646610944,471163803,472412809,78085410,3023497329,4897361049,3230914433,910127605277495297",0
1070393460,0,3.0,0.0,"298665634,895966238207123456,2365875467,2784687783,956171191,882912034567966721,1015908282,437761508,798548732577021952,291628337,376865423,1901519893,845301115302350849,301621024,330959184,618231330,501924810,262554664,17688757,3443455455,18396319,471031900,2938319831,2960692385,927290354,238080747,14082870,348427113,607590749,481928504,57315555,68440549,606292118,133663801,47399805",0
150503387,0,3.0,0.0,"146638302,830054304849465344,853950045724520449,1071499269880901639,1863455341,865691485",0
867368846541426688,0,37.0,0.3230029466942853,"786333824431034368,32937032,129788863,1023468579948298240,77761192,3207258197,1408592005,1098279610851250176,198539727,1014933668450750464,14165677,375025746,1617058176,1071841054884810754,1059892044791975944,3011027468,811227345323433984,257640971,1022861670371209216,828722922932023297,938751772738445312,2747676402,1080433787035635712,452266247,1043434038139215872,116537292,1081152150695223296,1072454851131514880,43203621,78267687,1081940485487411201,2580787003,1292292102,1067402271007350785,810440522305306624,4924792131,1062395654696128513,838497180717629441,319234204,3206870531,587171210,619510689,877515311662198784,907382831130857472,704222685862174720,3233716409,831235304140980224,972435118609575936,3468170476,236370429,1067742652861427712,708186568029110275,1072586850248941568,2911171937,1071032837275561984,583063088,794684491247878144,1076897315196157953,172721897,52461613,102801310,2897276171,1040115113473310721,147228092,87738447,1019905650745401345,813103509314895872,21092087,1072123394836062209,105287749,60508714,938896345783562243,1058063091097841664,116561293,1073305357957677056,596269870,2784052475,422153063,614400102,4782955642,230121562,721721504254279681,784636611183214592,937513949184122881,811336898308435968,959044750228762624,270327100,104595541,1005173928699092993,854217206229499904,3803950223,784399151891095552,1019096535341072384,978184280,1069682029246234632,239467300,2503587524,704796216920514562,160534877,18396319,945432114182451200,2723930191,160933418,4477141463,936578335945183232,829717519,2447038212,4061586491,1053880016,887947117800640514,246775748,1023880770023317504,959505157095673856,778490173,1143467268,2457369915,2894787904,848000866640687104,128240209,4716325282,4726805295,632815653,851876575708688384,977526649100165121,2650854479,4242871036,950726742481784833,945729719827419136,989086978644865024,19893598,875099243907862528,1037749060462104576,4205389155,901823725917671424,1046312020088418304,28606185,1533961118,5501422,195750233,1047705337,163417535,2857593099,2861636453,252535620,757354351195197440,2966759458,988077881527095297,49962313,250695330,973914712252575746,131781143,1023772240230457345,1034129842860646400,826525977228541953,954621990794661888,1160946450,714155141763567616,4902037162,1122907831,4858488845,345021595,151196817,318362924,466273690,2232463302,3298286855,3419315413,2717721314,376153475,3381707955,954663194655633408,3614519775,4691769553,722903940824563713,1538261348,3290144148,1007286986749685762,728021521,327594524,801032157149990913,1023189859664576512,309290288,925015707317915648,919270593412980737,713134184102014976,2179367215,976332355953717248,947517423409942528,437065715,2326265422,10003862,740995314266558464,1160472126,838048573916839936,351009963,4912907644,163563071,750793411414941696,4113617889,465677926,958385148633993216,986400799,229496004,104966264,295696521,843067361330675716,1011272760780259329,746341225029050373,4892990475,2852652593,823882107810410498,1552982012,947238380454150145,1432857578,949327201,830850546227621888,2744438383,966121334626488321,967747216654905346,284039382,1008276135329914881,2373747654,3225547108,49624197,815729427493613568,624071090,2906297560,286049171,2918039334,232341555,303852879,19006085,1234881763,845345797415821313,452098509,112186577,3053380255,468720928,1265267131,897550934506688513,4143395536,3869246068,57405408,83137267,30856197,92230638,959810419530633219,3293900693,3319287287,320353639,1215947096,996354761279590401,364384953,827469927317635072,585955367,856076690828791808,828182923937472512,420285647,753974664041533440,403714562,142996752,149518328,312696314,326053289,749568083916980224,162014864,3293406121,2207793974,2269391174,11320442,977535397801746437,835486151519645696,30416706,937012241395781634,2148203163,36437383,841769147608502273,3807368123,3512242402,734121122082529280,3037706487,785246875,887457133,2716482522,3069172528,864610968,2843472743,153910687,822462665910063105,919095188009701377,3251487501,802852196,917763027637882881,735337219452506112,4188595234,4403039254,291176818,415231233,2259041257,746305585642110978,752063886824710144,796483763064754180,1127998578,939547878158143488,2855449623,4287265097,28192434,210556794,138320520,1187136625,799949976403136513,122354285,843770184536080384,868539729725333505,799557287123812352,837423228490498048,1591727749,500614553,351081575,879971457413132288,64643056,24502059,592082618,176870725,231968277,1217578664,839055756137795584,1411310336,747844064222056449,840959410310676480,743729570268880896,1924702003,3290929670,717294662235648000,799398175584952320,295112173,708531566230654978,2713104409,1908348464,115688666,854023192545030146,34262462,445748075,874706947861336065,1616042886,592534430,1919761124,879703697596481536,20678856,1238987756,117335337,187879473,246308415,2987379484",0
1181535044,0,12.0,0.42454132710081127,"1070375327740899333,191927673,304275943,19491190,560418630,235910137,1713160938,734327088,275948503,955578024975626245,947828079392641025,338541307,3028247758,47399805,857153285190537220,1068718374,1037383255354421248,103280363,854428791854247937,2841533513,110162691,45343260,474073938,880359954582036483,796540157495218177,509981951,755886040049647616,152382594,807520583512629248,829343650786205697,963856725924372481,756093129049182208,592582568,2918297386,122971079,3019617750,376465044,465435852,2330362369,578189188,482878437,2383421491,772215918868979712,559772995,112103858,706511847445364740,909068230874079232,977015028,864595354578300928,300314836,1380350618,613419982,910127605277495297,305447437,2695927747,2834065803,2223274866,818847510546546690,832246158391144448,242492168,858041350494793728,21505928,835174698623336448,391361511,546277623,380371824,280768201,2698977222,717406522930806784,556902767,2459862169,127659284,21016128,467745761,496980756,618927738,12700192,3021369148,945878124,263036313,197492504,108434962,1388019373,2430630890,259528569,53798973,2481916265,156593609,2616379037,88682428,2445755058,703987501006979072,399639479,72800204,92945903,68940196,145556011,3023497329,85829421,579091759,1662233994,461130775,334899661,455627643,1516684248,712216639052324864,276934698,606353326,116135875,4897361049,336648255,270147755,414024815,560265542,2787282922,2254063405,35022597,540721019,2188542098,250657766,2595397003,2727580443,18721640,546755809,1243147873,485505777,2204263431,593026851,2517287348,1239876049,1468048220,534645170,2682377376,94081750,957566846,72301588,252720520,1863167125,325180819,231041611,430937261,1956909679,559477766,1536545978,250393425,38409296,360700320,566541606,151043323,475651407,506493498,311601642,250323361,329686497",0
4734851008,0,144.0,0.0,"3994873689,3028247758,719463648733892608,1084136405889150976,2369968007,12786782,1014933668450750464,1057018566183149568,18167178",0
768160176448864256,0,23.0,0.32174443851475987,"1037042695280242689,926444733576155136,3257893428,1071499269880901639,18669562,17801749,4320648682,850543150909333505,386667988,805529227147628544,2841472192,1255773595,69545227,3289440085,895118556504797185,341020028,189806241,65466158,299929232,30528628,1287447402,35196174,790948651963183104,446727989,777580165375336448,735228714070507520,2726026615,734961544782569473",0
972602006908137472,1,19.0,0.6777660470259818,"450667485,714150957970546688,482878437,952957291317342209,149539920,808440877865717766,377424425,1084136405889150976,560425542,30202175,972569859765755909,197492504,832246158391144448,1380350618,72516079,1066303422129979393,1066759357688356864,1071436971191492609,2841533513,592582568,189456977,3165914081,112103858,870237689173471232,124490776,863096067075780608,560265542,2639390815,851766651997609985,301590263,418274460,1402607455,485505777,462956732,4636351575,562328676,40056514,129297085,757910696646610944,68940196,1913955020,38142665,782249130429128704,910127605277495297,34294667,3023497329,4897361049,778026984,858041350494793728,578189188",1
386090305,0,13.0,0.27548103258703577,"90018561,1004068718614368256,881132800103124993,3290453295,14879348,926889951333109760,831203118012592129,1434950630,953000804,47796743,1014933668450750464,1856082044,1972519165,756643373847572480,2481896449,239319124,2366419128,2993890546,97764463,4601447955,19898543,2891477268,870769198758109184,1483183382,26123893,4313548274,159095242,802179378985766912,1060223729488330754,794539044600356864,42461756,636732886,433494674,1292292102,1377965149,247621434,15063486,539338697,753974664041533440,18669562,3008336542,59378275,1646044446,750632568823963648,919216206099382272,954459992467238912,1025550674568904704,1072116653213782016,726495400757198849,4597143554,974642140402913280,942415374368296961,915622082972651521,817189792769339392,1071841054884810754,2445586759,865223191035334658,996329534222938112,327326028,835234980192083968,621023206,3015642023,4835593824,1049294365645033472,252997533,43403044,250155670,1000038557665320960,6664162,41468232,1043015725751791621,3346509473,747118471519993857,872348238,2645418084,3021273576,27517017,727574226966855680,498939050,1061765073885188096,247372241,18719172,850543150909333505,2884845544,54301769,900822116962062336,864610968,2295953865,176087555,317223956,1589383064,3331113755,199299912,2368760118,871339418170388481,34663425,2315411725,491630866,180066019,4255701734,49616509,94818358,2475151315,1689064220,820435856230154240,974414281658822658,4781711607,2518947094,2841871295,3299838981,2310240302,2148203163,4852001365,96977991,877328679092625409,20895618,848962801309765638,259975018,1434453764,178406304,2583980273,3956151875,737149334597275648,851394863564288001,1000054742968684551,161685142,845804107,308130306,946729506571612161,2905460692,3295009275,721206511561605120,760541394,28069609,935719917499723776,2841472192,3397244179,703603346200993792,1287447402,297126538,90597559,1008034586599788545,154460197,162650716,793377481982181376,42135117,1017822890287357952,395983056,2849651386,2775514122,768284028491358210,853323891472605184,804540044954451968,3373146857,296005306,1470586742,887778797273194498,788985427608924160,984037907454418944,33519870,822109063550877696,17801749,3207497417,97382927,285502685,96336762,144580542,3300658977,3168157985,1124245130,2868370994,808534076860862465,15484198,81136269,1694169914,937513949184122881,3344689690,2686106365,3663025166,34262462,403647191,312696314,3241746721,895118556504797185,20045684,379481082,28117564,16936686,956171191,904292263811051520,3293406121,395214553,64643056,26784152",0
2475151315,0,90.0,0.5953663527590655,"1000054742968684551,3401820741,433494674,1074309802225004545,975160935160610818,1046036186232487936,138541412,1078408024946106375,343632836,25981912,159628820,2327873418,1081712320827609093,101457765,3270583988,127022332,974642140402913280,882724194148110336,49624197,372416699,989463834183323648,1080120992876376064,59378275,1074644168339804160,1599212660,3284974008,979285070140751872,55049447,1091715883024769024,108978325,1497701520,47090063,570475820,1095997783767695360,2420050035,928582761597816832,2352473312,3654244648,2438605506,96312578,2761671067,1030495583759478784,3208863347,1364883962,1428755460,878101918232576000,1063111596434710528,430097374,1082570456861949952,511664774,169949875,2737318404,420677953,977143254444539904,895922425409482753,1087744298404249601,1088147982959235072,3374376179,1066849304,1084782270140084224,1096700515969368064,14879348,928257428,504818216,947846919375777792,1511574157,1077873202288840705,883755073687273473,2319331160,1069046401001238528,1075837445558673410,823979235031351296,346549154,1090013878572978176,2887781099,370199089,753974664041533440,38632211,760541394,127114548,513804756,954992992326123520,23231925,1074276908098031622,711125498,3381977267,709338071494430720,2171359645,780454812450230272,3231068674,832991413860196352,1082216290176172033,919216206099382272,730163626326298624,1071841054884810754,1011678574540214272,2148203163,794684491247878144,1072116653213782016,113448327,868852394087636992,925818967,44084579,924993637355806720,2918267949,1064972624948797440,1978165356,1072599724518199296,360637814,219093080,961680166866116608,26420516,876370445737615361,3244875497,844944215834607617,843811237385420809,68535010,246458114,868342473042665472,842904007790288897,2456962812,4653205355,1062650563240869888,85535913,1424383484,1072633818333503489,610035922,727574226966855680",0
917249878090117120,0,5.0,0.0,1061141035831574528,0
300866006,0,12.0,0.4785770606666181,"56077765,19976004,2493916777,959531564341317632,1328835319,1492591104,738496384006033408,892056144,3132821813,26110930,133663801",0
102360564,0,5.0,0.0,"482878437,2954024641,835174698623336448,3028247758,931506437209063424,1084136405889150976,112184058,149539920,908371232982216704,2383844606,1068532568608464896,72851410,1353259730,910127605277495297,716650590927978496,1034660186668113920,978184280,4869162459,472852289,959531564341317632,464804533,703720145982758912,200659061,3025757015,57655137,19976004,782637212454170624,103117970,123830541,2925158589,2731564390,626390087,1075942356,271586033,276120646,157984558,240847672",0
974152473056370689,0,5.0,0.0,"15484198,2329066872,378126181,15745368,16936686,3059118880,403647191,822109063550877696,808534076860862465,51670985,18725815,192547775,64643056,956171191,33519870,2373735295,312696314,296005306,308130306,96336762,934399189,804540044954451968,3293406121",0
2388393267,0,3.0,0.0,"54559670,3077080487,1375885879,882648784622235650,1068191134516764672,2195030496,1040351729903194117,54856360,2999777241,928472762963890176,784742751443230720,753596533417926656,14782243,91555542,698616110044856321,1008461549407596544,3325901451,1560818959,24398244,1095327876763680769",0
1079723681943830528,1,23.0,0.9030605813731318,"585158193,1417537957,867392624977686529,180700114,2316096655,332343602,19976004,2558583704",1
1033087626704814080,0,16.0,0.4772885234399466,"276112778,277014891,154912263,2909441285,585736569,1070356991997079553,2336273937,149539920,1062330064799440897,1057018566183149568,1028668294751039488,1014933668450750464,34867057,8460572,34570323,4813171035,276934698,92849144,177662118,1435970071,2473486548,2329034473,105165371,338985020,133663801,38142665,456777022,34294667,2806133355,922458620155121664,3241154722,797757316493938688,835122523,758864962416545792,1026048693802291200,320593253,3694054096,833669307833921537,4862099872,937432212684918789,942412213,377912738,846625138833604608,851364182406696960,471163803,572138913,316956459,1920691543,18396319,317655205,8350912,68440549,21313364,374184532,47399805,16884402,951480480,19976004",0
307758735,0,11.0,0.0,"187879473,2906297560",0
1072464345651650560,0,185.0,0.081283035187349,"139594328,1562790686,301317246,15658101,832177423424831489,811152156782981120,842385862361026560,128593679,1415195768,816402208732352513,925089116110360576,109522745,319756723,406978622,911178226533388288,123830541,379718466,57641330,738667035371134976,214562815,864856599021727744,282119887,816357406280192000,3390775469,864825463927164928,862722286444564482,866826365152235521,606371561,121106417,864604534122962944,864228297613479938,856270190736277506,142632679,569390345,37509285,843864760689016833,800435764966215680,843748232,880534969650642945,4813171035,880797620150702080,374184532,14237828,863844064961200130,818210180756336641,455806353,317655205,2796422286,363402480,765957157175058432,403399062,26110930,863506427024986112,632096972,47399805,21313364,19976004,68440549,8350912,338985020,34570323,34294667,18396319,133663801,34867057,165783110,951480480,40056514",0
991619724,0,4.0,0.3685835869988806,"401653839,734327088,554485198,774213858059837440,3567701723,306086392,472412809,3255853215,87521301,1519044919,469248037,78085410,45832480,3021369148,2367386637,493031776,1006020644,105559126,129147382,1399581476,72516079,21313364,18396319,133663801",0
1039227457449218051,0,22.0,0.37446720270814476,"2958806686,495350939,1077619784295030784,1067771257771446272,1027885587276152833,781918265400492033,2977800963,3247118410,559431623,240847672,626390087,3490425496,1645331892,2364724460",0
976548866521731073,1,10.0,0.6302945613861084,"50793384,727609177032564739,210556794,794684491247878144,3077080487,959856286061006848,2458510246,562357936,709786874798182400,3159147915,1011314152684572672,3060673559,1038469840426688512,916386665844957185,987588738023903232,882135224372662272,112186577,113388930,1429199480,4262084513,2438590990,14817383,3248410062,3353235433,18568363,1146349951,874763028,1546656000,3376927462,717132680035340289,1076078663983120385,124275991,1400514948,52141764,54159671,1031225733769842689,833400816866201600,1073959493883609088,1073249997771194374,17895820,1017520696845586433,780131886,53659802,3580248555,424478521,865293524098576385,1040115113473310721,755391185624174592,943522683295289345,2984322113,884697604910612480,1460990838,241173956,2712999488,3186250136,302670255,585955367,939214381732151296",1
